account_id,district_id,frequency
576,55,MONTHLY ISSUANCE
3818,74,MONTHLY ISSUANCE
704,55,MONTHLY ISSUANCE
2378,16,MONTHLY ISSUANCE
2632,24,MONTHLY ISSUANCE
1972,77,MONTHLY ISSUANCE
1539,1,ISSUANCE AFTER TRANSACTION
793,47,MONTHLY ISSUANCE
2484,74,MONTHLY ISSUANCE
1695,76,MONTHLY ISSUANCE
1726,48,MONTHLY ISSUANCE
2881,70,MONTHLY ISSUANCE
2357,19,MONTHLY ISSUANCE
2177,62,MONTHLY ISSUANCE
485,6,ISSUANCE AFTER TRANSACTION
652,21,MONTHLY ISSUANCE
9635,70,MONTHLY ISSUANCE
1844,44,MONTHLY ISSUANCE
1926,37,MONTHLY ISSUANCE
2393,10,MONTHLY ISSUANCE
3510,41,MONTHLY ISSUANCE
1276,36,MONTHLY ISSUANCE
1637,1,MONTHLY ISSUANCE
3871,26,MONTHLY ISSUANCE
192,55,MONTHLY ISSUANCE
764,1,MONTHLY ISSUANCE
2087,7,WEEKLY ISSUANCE
2122,68,MONTHLY ISSUANCE
3592,54,MONTHLY ISSUANCE
3487,41,MONTHLY ISSUANCE
435,38,MONTHLY ISSUANCE
1730,1,MONTHLY ISSUANCE
1493,41,MONTHLY ISSUANCE
374,38,MONTHLY ISSUANCE
2925,1,MONTHLY ISSUANCE
866,9,MONTHLY ISSUANCE
1628,60,MONTHLY ISSUANCE
2379,44,MONTHLY ISSUANCE
1979,26,MONTHLY ISSUANCE
346,37,MONTHLY ISSUANCE
1338,74,MONTHLY ISSUANCE
1909,14,MONTHLY ISSUANCE
2099,3,WEEKLY ISSUANCE
3760,44,MONTHLY ISSUANCE
5270,44,MONTHLY ISSUANCE
1699,53,MONTHLY ISSUANCE
3909,1,MONTHLY ISSUANCE
2926,50,MONTHLY ISSUANCE
1731,33,MONTHLY ISSUANCE
11265,15,MONTHLY ISSUANCE
2519,4,MONTHLY ISSUANCE
10364,55,MONTHLY ISSUANCE
1481,15,MONTHLY ISSUANCE
401,32,MONTHLY ISSUANCE
4034,1,MONTHLY ISSUANCE
2330,54,MONTHLY ISSUANCE
1806,40,MONTHLY ISSUANCE
3834,54,MONTHLY ISSUANCE
1222,66,MONTHLY ISSUANCE
212,27,WEEKLY ISSUANCE
456,49,MONTHLY ISSUANCE
459,47,MONTHLY ISSUANCE
772,45,MONTHLY ISSUANCE
1019,52,MONTHLY ISSUANCE
11295,74,MONTHLY ISSUANCE
2970,60,MONTHLY ISSUANCE
2676,73,MONTHLY ISSUANCE
1536,41,WEEKLY ISSUANCE
1179,74,MONTHLY ISSUANCE
280,25,MONTHLY ISSUANCE
2425,41,MONTHLY ISSUANCE
9307,68,MONTHLY ISSUANCE
4055,23,MONTHLY ISSUANCE
