card_id,disp_id,type,issued
1005,9285,CLASSIC,931107
104,588,CLASSIC,940119
747,4915,CLASSIC,940205
70,439,CLASSIC,940208
577,3687,CLASSIC,940215
377,2429,CLASSIC,940303
721,4680,JUNIOR,940405
437,2762,CLASSIC,940601
188,1146,CLASSIC,940619
13,87,CLASSIC,940629
732,4763,CLASSIC,940721
181,1066,CLASSIC,940819
384,2475,JUNIOR,940915
309,1946,CLASSIC,940919
478,3084,CLASSIC,941009
563,3589,CLASSIC,941021
369,2363,CLASSIC,941108
376,2428,CLASSIC,941110
483,3115,CLASSIC,941124
174,1039,JUNIOR,941204
658,4251,CLASSIC,941225
763,5138,JUNIOR,941230
778,5275,CLASSIC,950102
1039,9837,CLASSIC,950107
477,3082,JUNIOR,950116
168,1018,CLASSIC,950124
314,1999,JUNIOR,950127
468,3023,CLASSIC,950130
208,1246,GOLD,950208
766,5200,CLASSIC,950211
464,2984,CLASSIC,950221
497,3184,CLASSIC,950303
166,999,CLASSIC,950305
15,114,CLASSIC,950305
503,3225,CLASSIC,950308
1038,9787,JUNIOR,950330
737,4791,CLASSIC,950413
418,2623,CLASSIC,950414
759,5117,JUNIOR,950418
223,1353,CLASSIC,950418
5,51,JUNIOR,950424
159,946,CLASSIC,950501
1223,13231,JUNIOR,950502
662,4293,CLASSIC,950509
779,5323,JUNIOR,950521
1040,9890,JUNIOR,950528
545,3458,CLASSIC,950530
467,3019,CLASSIC,950605
1247,13660,CLASSIC,950613
652,4211,CLASSIC,950616
559,3573,CLASSIC,950617
719,4663,CLASSIC,950624
397,2513,CLASSIC,950624
107,593,CLASSIC,950627
661,4270,CLASSIC,950703
484,3116,CLASSIC,950704
501,3197,CLASSIC,950709
422,2650,JUNIOR,950711
705,4555,CLASSIC,950712
410,2569,CLASSIC,950720
136,778,CLASSIC,950728
592,3782,JUNIOR,950807
262,1647,JUNIOR,950824
18,128,CLASSIC,950825
3,41,GOLD,950903
98,537,CLASSIC,950906
167,1011,CLASSIC,950915
97,531,JUNIOR,950919
699,4532,CLASSIC,950926
342,2157,CLASSIC,950927
713,4627,CLASSIC,950930
118,652,CLASSIC,951022
783,5433,JUNIOR,951024
1103,11189,CLASSIC,951104
504,3230,JUNIOR,951106
261,1629,GOLD,951109
296,1876,GOLD,951113
113,629,JUNIOR,951116
92,508,CLASSIC,951120
1225,13268,CLASSIC,951122
393,2498,JUNIOR,951203
695,4507,CLASSIC,951215
666,4328,JUNIOR,951225
462,2978,CLASSIC,951230
85,489,CLASSIC,951231
337,2141,CLASSIC,960101
771,5233,CLASSIC,960108
379,2431,CLASSIC,960112
106,592,CLASSIC,960114
606,3883,CLASSIC,960122
427,2688,GOLD,960125
202,1228,CLASSIC,960204
814,5911,CLASSIC,960215
1064,10328,CLASSIC,960217
14,112,CLASSIC,960217
423,2657,CLASSIC,960219
989,9119,CLASSIC,960221
364,2329,CLASSIC,960229
267,1691,JUNIOR,960309
621,3970,JUNIOR,960319
1139,11836,JUNIOR,960326
725,4715,JUNIOR,960330
150,859,CLASSIC,960330
302,1900,CLASSIC,960331
372,2395,CLASSIC,960331
499,3187,CLASSIC,960403
229,1384,CLASSIC,960405
289,1831,JUNIOR,960408
1100,11101,JUNIOR,960410
37,238,CLASSIC,960420
286,1812,GOLD,960421
157,907,CLASSIC,960424
216,1310,JUNIOR,960424
977,8968,CLASSIC,960508
183,1080,CLASSIC,960508
945,8342,JUNIOR,960509
44,268,JUNIOR,960517
600,3829,CLASSIC,960520
127,714,CLASSIC,960523
764,5159,CLASSIC,960529
204,1239,JUNIOR,960530
1134,11742,CLASSIC,960531
312,1971,CLASSIC,960608
313,1980,CLASSIC,960617
641,4116,CLASSIC,960618
731,4751,CLASSIC,960623
84,487,CLASSIC,960626
265,1680,CLASSIC,960628
1176,12502,GOLD,960703
1233,13382,CLASSIC,960706
407,2555,CLASSIC,960711
320,2045,CLASSIC,960711
1187,12635,GOLD,960717
121,666,JUNIOR,960722
1055,10171,CLASSIC,960724
303,1912,CLASSIC,960801
651,4201,JUNIOR,960802
736,4789,CLASSIC,960803
24,153,JUNIOR,960805
587,3763,JUNIOR,960805
119,655,CLASSIC,960808
670,4343,CLASSIC,960808
227,1380,CLASSIC,960810
1164,12269,CLASSIC,960812
1043,9974,JUNIOR,960814
278,1779,CLASSIC,960815
103,584,JUNIOR,960817
673,4353,JUNIOR,960831
38,242,CLASSIC,960831
470,3036,CLASSIC,960902
890,7422,CLASSIC,960908
514,3267,CLASSIC,960910
741,4832,CLASSIC,960911
882,7195,CLASSIC,960911
12,83,JUNIOR,960911
152,876,CLASSIC,960916
163,984,CLASSIC,960918
708,4568,JUNIOR,960924
1087,10887,CLASSIC,961006
854,6753,CLASSIC,961007
601,3830,CLASSIC,961008
99,548,GOLD,961009
547,3477,CLASSIC,961011
40,255,CLASSIC,961013
220,1333,CLASSIC,961013
390,2490,CLASSIC,961014
776,5263,CLASSIC,961019
197,1202,JUNIOR,961021
516,3279,CLASSIC,961025
381,2440,CLASSIC,961027
1010,9413,CLASSIC,961027
813,5873,JUNIOR,961028
272,1754,JUNIOR,961028
772,5243,CLASSIC,961030
528,3356,CLASSIC,961031
1014,9452,CLASSIC,961102
87,493,CLASSIC,961102
88,496,CLASSIC,961104
441,2785,CLASSIC,961105
562,3583,CLASSIC,961107
690,4479,CLASSIC,961107
374,2423,CLASSIC,961108
57,347,CLASSIC,961109
722,4684,CLASSIC,961114
300,1890,CLASSIC,961120
117,649,JUNIOR,961123
541,3427,JUNIOR,961126
294,1861,CLASSIC,961204
10,77,CLASSIC,961207
710,4588,JUNIOR,961210
408,2560,CLASSIC,961210
363,2324,JUNIOR,961211
697,4518,CLASSIC,961211
433,2724,CLASSIC,961212
642,4137,CLASSIC,961213
243,1478,CLASSIC,961213
162,967,JUNIOR,961223
594,3794,JUNIOR,961227
609,3893,CLASSIC,961229
1111,11288,CLASSIC,961231
786,5478,CLASSIC,961231
1118,11393,CLASSIC,970102
175,1040,CLASSIC,970103
565,3601,GOLD,970106
714,4638,CLASSIC,970109
137,786,JUNIOR,970110
22,138,CLASSIC,970111
325,2102,CLASSIC,970112
194,1182,CLASSIC,970113
668,4340,CLASSIC,970114
706,4559,GOLD,970116
850,6644,CLASSIC,970116
298,1885,CLASSIC,970117
105,590,CLASSIC,970117
1036,9735,CLASSIC,970117
292,1842,GOLD,970118
112,626,JUNIOR,970119
678,4405,GOLD,970120
1093,11011,CLASSIC,970120
681,4426,CLASSIC,970122
582,3733,CLASSIC,970122
729,4740,JUNIOR,970122
54,334,CLASSIC,970124
258,1607,CLASSIC,970126
534,3387,CLASSIC,970129
667,4333,CLASSIC,970131
195,1194,CLASSIC,970203
199,1213,CLASSIC,970207
490,3136,GOLD,970207
347,2184,CLASSIC,970211
210,1253,CLASSIC,970216
293,1850,CLASSIC,970217
189,1157,CLASSIC,970219
324,2074,CLASSIC,970219
578,3689,JUNIOR,970221
266,1690,CLASSIC,970304
568,3615,CLASSIC,970305
171,1027,CLASSIC,970305
679,4416,CLASSIC,970306
841,6468,CLASSIC,970306
513,3260,CLASSIC,970315
647,4171,JUNIOR,970321
665,4318,CLASSIC,970324
400,2529,CLASSIC,970406
617,3944,GOLD,970409
709,4587,JUNIOR,970411
387,2481,CLASSIC,970418
226,1378,CLASSIC,970418
350,2226,CLASSIC,970420
539,3415,CLASSIC,970423
583,3735,CLASSIC,970424
576,3671,CLASSIC,970430
232,1396,CLASSIC,970501
730,4749,CLASSIC,970502
616,3943,CLASSIC,970505
564,3590,CLASSIC,970506
82,474,CLASSIC,970507
1173,12442,CLASSIC,970508
426,2686,CLASSIC,970509
791,5521,CLASSIC,970512
572,3636,JUNIOR,970516
375,2425,JUNIOR,970517
69,438,CLASSIC,970517
607,3885,CLASSIC,970517
155,900,JUNIOR,970517
275,1762,CLASSIC,970520
847,6610,CLASSIC,970520
399,2527,CLASSIC,970522
305,1914,CLASSIC,970523
430,2713,CLASSIC,970526
349,2214,CLASSIC,970526
256,1583,CLASSIC,970526
50,309,CLASSIC,970528
939,8217,JUNIOR,970529
110,608,CLASSIC,970531
184,1089,GOLD,970603
90,503,CLASSIC,970604
597,3813,JUNIOR,970606
471,3037,CLASSIC,970609
494,3173,CLASSIC,970610
211,1271,CLASSIC,970610
353,2259,CLASSIC,970611
213,1289,GOLD,970611
1009,9409,GOLD,970614
297,1883,CLASSIC,970615
801,5684,CLASSIC,970615
748,4923,CLASSIC,970616
133,742,CLASSIC,970616
316,2013,CLASSIC,970617
145,819,CLASSIC,970617
270,1736,JUNIOR,970617
1178,12542,CLASSIC,970619
222,1345,CLASSIC,970619
241,1461,CLASSIC,970620
280,1793,CLASSIC,970622
675,4376,CLASSIC,970623
108,597,CLASSIC,970625
1196,12805,CLASSIC,970627
287,1819,JUNIOR,970628
443,2808,CLASSIC,970629
1138,11825,CLASSIC,970629
733,4764,JUNIOR,970630
311,1954,CLASSIC,970701
120,662,CLASSIC,970703
122,667,JUNIOR,970703
476,3079,CLASSIC,970706
781,5366,CLASSIC,970707
588,3765,CLASSIC,970708
403,2538,JUNIOR,970712
139,797,CLASSIC,970714
553,3522,CLASSIC,970714
625,3987,CLASSIC,970717
413,2592,JUNIOR,970720
591,3779,CLASSIC,970723
694,4504,CLASSIC,970724
512,3259,CLASSIC,970724
1095,11023,GOLD,970728
1059,10235,CLASSIC,970729
75,457,CLASSIC,970729
383,2469,CLASSIC,970730
115,638,CLASSIC,970730
884,7286,GOLD,970731
454,2921,CLASSIC,970801
688,4472,CLASSIC,970801
936,8030,CLASSIC,970802
663,4295,CLASSIC,970806
637,4094,JUNIOR,970806
511,3257,JUNIOR,970806
1220,13160,CLASSIC,970808
628,4007,CLASSIC,970811
718,4660,CLASSIC,970812
238,1452,GOLD,970817
546,3465,GOLD,970819
660,4265,JUNIOR,970819
491,3151,CLASSIC,970821
140,798,CLASSIC,970822
502,3201,CLASSIC,970822
598,3821,CLASSIC,970823
355,2267,CLASSIC,970828
43,267,CLASSIC,970829
610,3894,CLASSIC,970829
182,1067,GOLD,970831
41,256,CLASSIC,970831
91,504,JUNIOR,970901
252,1529,CLASSIC,970902
495,3181,CLASSIC,970902
259,1610,CLASSIC,970905
187,1140,CLASSIC,970907
185,1098,CLASSIC,970907
1025,9625,CLASSIC,970908
19,130,CLASSIC,970909
431,2715,GOLD,970912
356,2268,CLASSIC,970913
767,5204,CLASSIC,970914
537,3405,CLASSIC,970915
703,4546,CLASSIC,970917
671,4345,CLASSIC,970917
896,7567,CLASSIC,970918
343,2164,CLASSIC,970921
279,1791,CLASSIC,970921
622,3981,JUNIOR,970922
612,3906,CLASSIC,970922
206,1243,CLASSIC,970922
190,1165,CLASSIC,970923
1203,12893,CLASSIC,970926
234,1424,CLASSIC,970929
30,202,CLASSIC,971001
327,2117,CLASSIC,971003
49,305,CLASSIC,971003
1115,11375,JUNIOR,971003
698,4522,GOLD,971007
874,7127,GOLD,971007
247,1500,JUNIOR,971008
656,4235,CLASSIC,971008
436,2759,CLASSIC,971009
124,688,CLASSIC,971010
633,4078,CLASSIC,971012
428,2698,CLASSIC,971013
638,4100,GOLD,971014
153,886,GOLD,971019
596,3811,CLASSIC,971019
664,4316,CLASSIC,971022
251,1525,CLASSIC,971023
552,3519,CLASSIC,971025
9,76,CLASSIC,971025
11,79,GOLD,971025
650,4194,CLASSIC,971026
59,365,CLASSIC,971027
1016,9525,CLASSIC,971028
359,2299,CLASSIC,971029
438,2768,CLASSIC,971030
94,513,CLASSIC,971106
1056,10220,CLASSIC,971106
273,1758,CLASSIC,971107
947,8366,CLASSIC,971108
93,510,CLASSIC,971109
762,5132,CLASSIC,971110
254,1578,CLASSIC,971111
611,3896,CLASSIC,971113
648,4188,CLASSIC,971118
373,2401,CLASSIC,971118
579,3699,CLASSIC,971118
555,3544,CLASSIC,971119
329,2122,GOLD,971119
707,4560,CLASSIC,971121
51,321,CLASSIC,971121
382,2445,GOLD,971122
472,3056,CLASSIC,971124
237,1445,CLASSIC,971125
1234,13386,CLASSIC,971128
86,490,CLASSIC,971128
540,3425,CLASSIC,971129
493,3167,CLASSIC,971130
532,3382,CLASSIC,971130
590,3769,CLASSIC,971202
942,8295,CLASSIC,971202
33,221,JUNIOR,971203
739,4821,CLASSIC,971203
45,272,CLASSIC,971205
25,158,CLASSIC,971206
200,1220,GOLD,971209
268,1707,GOLD,971211
507,3245,CLASSIC,971211
569,3616,CLASSIC,971212
282,1799,GOLD,971213
536,3404,CLASSIC,971213
1022,9606,CLASSIC,971213
1105,11237,CLASSIC,971213
326,2104,CLASSIC,971214
380,2434,CLASSIC,971215
723,4699,CLASSIC,971215
81,473,CLASSIC,971217
521,3310,CLASSIC,971217
608,3890,CLASSIC,971217
589,3766,JUNIOR,971220
281,1795,CLASSIC,971222
891,7434,CLASSIC,971223
774,5249,CLASSIC,971225
566,3606,CLASSIC,971225
575,3667,GOLD,971225
154,887,CLASSIC,971228
130,722,CLASSIC,971229
434,2739,CLASSIC,971230
83,483,CLASSIC,980105
593,3787,JUNIOR,980106
481,3102,JUNIOR,980106
304,1913,CLASSIC,980106
149,858,CLASSIC,980107
659,4258,CLASSIC,980108
517,3291,CLASSIC,980109
368,2361,CLASSIC,980110
482,3104,JUNIOR,980113
689,4473,CLASSIC,980115
557,3567,CLASSIC,980117
897,7576,CLASSIC,980118
803,5727,CLASSIC,980119
401,2532,CLASSIC,980119
760,5126,CLASSIC,980119
274,1759,CLASSIC,980121
28,174,JUNIOR,980122
904,7672,CLASSIC,980122
474,3066,JUNIOR,980124
214,1292,CLASSIC,980124
55,335,CLASSIC,980125
340,2155,CLASSIC,980125
724,4701,GOLD,980127
67,429,JUNIOR,980128
236,1440,JUNIOR,980129
68,434,CLASSIC,980131
348,2203,CLASSIC,980202
65,414,CLASSIC,980202
1239,13442,JUNIOR,980202
165,996,JUNIOR,980204
249,1517,CLASSIC,980206
246,1492,CLASSIC,980208
720,4674,JUNIOR,980209
518,3292,GOLD,980210
459,2958,GOLD,980211
655,4231,CLASSIC,980213
624,3985,JUNIOR,980213
398,2522,CLASSIC,980214
796,5579,CLASSIC,980220
100,562,GOLD,980221
574,3640,JUNIOR,980223
360,2308,CLASSIC,980224
